,artists_id,artist_name,artist_followers,artists_popularity,artists_genre
263,7cYEt1pqMgXJdq00hAwVpT,Chase Atlantic,5326697,77,alternative r&b
264,3BmGtnKgCSGYIUhmivXKWX,Kelly Clarkson,10018658,72,"dance pop,pop,talent show"
265,7x8nK0m0cP2ksQf0mjWdPS,Dierks Bentley,3052498,68,"contemporary country,country,country road"
266,4ZfEELHfyKd4odAb6YfDFw,White Noise for Babies,6202,73,sleep
267,70BYFdaZbEKbeauJ670ysI,Shinedown,3911609,69,"alternative metal,nu metal,post-grunge"
268,77tT1kLj6mCWtFNqiOmP9H,Daryl Hall & John Oates,2177591,71,"album rock,classic rock,heartland rock,mellow gold,rock,singer-songwriter,soft rock,yacht rock"
269,0cGUm45nv7Z6M6qdXYQGTX,Kehlani,7079984,72,"pop,r&b,rap"
270,4LEiUm1SRbFMgfqnQTwUbQ,Bon Iver,3453904,73,"chamber pop,eau claire indie,indie folk,melancholia,modern rock"
271,3qm84nBOXUEQ2vnTfUTTFC,Guns N' Roses,29559790,78,"glam metal,hard rock,rock"
272,1HPW4jeRjXBFRoUnSvBzoD,Destroy Lonely,614208,70,rage rap
273,4GJ6xDCF5jaUqD6avOuQT6,FIFTY FIFTY,1091118,77,k-pop girl group
274,6WY7D3jk8zTrHtmkqqo5GI,Maren Morris,754675,70,"classic texas country,contemporary country"
275,3Xt3RrJMFv5SZkCfUE8C1J,Kim Petras,960567,75,"alt z,pop,transpop"
276,35WVTyRnKAoaGExqgktVyb,Hotel Ugly,344727,73,modern indie pop
277,43ZHCT0cAZBISjO8DG9PnE,Elvis Presley,8551849,76,"rock-and-roll,rockabilly"
278,6qxpnaukVayrQn6ViNvu9I,BigXthaPlug,158998,66,southern hip hop
279,3Ri4H12KFyu98LMjSoij5V,Bad Omens,792448,71,american metalcore
280,23fqKkggKUBHNkbKtXEls4,Kygo,8410122,77,"edm,pop,pop dance,tropical house"
281,2cnMpRsOVqtPMfq7YiFE6K,Van Halen,5530442,71,"album rock,classic rock,hard rock,rock"
282,6JL8zeS1NmiOftqZTRgdTz,Meghan Trainor,13608831,75,"hip pop,pop"
283,45dkTj5sMRSjrmBSBeiHym,Tate McRae,3585076,75,"alt z,pop"
284,21mKp7DqtSNHhCAU2ugvUw,ODESZA,1516715,69,"chillwave,edm,indietronica"
285,3Mcii5XWf6E0lrY3Uky4cA,Ice Cube,7203475,73,"conscious hip hop,g funk,gangster rap,hip hop,rap,west coast rap"
286,0Njy6yR9LykNKYg9yE23QN,Nardo Wick,758441,67,"florida drill,florida rap,southern hip hop"
287,5zixe6AbgXPqt4c1uSl94L,Connor Price,829271,71,singer-songwriter pop
288,5IcR3N7QB1j6KBL8eImZ8m,ScHoolboy Q,4563901,70,"gangster rap,hip hop,pop rap,rap,southern hip hop,trap"
289,5IH6FPUwQTxPSXurCrcIov,Alec Benjamin,4478811,74,"alt z,pop,pov: indie"
290,4npEfmQ6YuiwW1GpUmaq3F,Ava Max,5957136,78,pop
291,1Oa0bMld0A3u5OTYfMzp5h,Nate Dogg,1468075,74,"g funk,gangster rap,hardcore hip hop,hip hop,rap,west coast rap"
292,0wyMPXGfOuQzNR54ujR9Ix,Caamp,492739,67,"indie folk,stomp and holler"
293,7Ey4PD4MYsKc5I2dolUwbH,Aerosmith,13680777,74,"album rock,classic rock,hard rock,rock"
294,3UUJfRbrA2nTbcg4i0MOwu,Original Broadway Cast of Hamilton,423086,70,"broadway,show tunes"
295,2rmkQLzj0k4nZdQehOUByO,Chino Pacas,599615,73,corrido
296,0dlDsD7y6ccmDm8tuWCU6F,Freddie Dredd,1572253,72,"aesthetic rap,phonk"
297,5Y5TRrQiqgUO4S36tzjIRZ,Timbaland,2564985,74,"dance pop,pop,pop rap"
298,07D1Bjaof0NFlU32KXiqUP,Lucy Dacus,382865,69,"art pop,chamber pop,indie pop"
299,40Yq4vzPs9VNUrIBG5Jr2i,The Smashing Pumpkins,4623089,70,"alternative metal,alternative rock,grunge,permanent wave,rock,spacegrunge"
300,1SupJlEpv7RS2tPNRaHViT,Nicky Jam,19101035,80,"latin hip hop,reggaeton,trap latino,urbano latino"
305,0C0XlULifJtAgn6ZNCW2eu,The Killers,7070393,74,"alternative rock,dance rock,modern rock,permanent wave,rock"
311,3qsKSpcV3ncke3hw52JSMB,Young Miko,823280,80,"trap latino,urbano latino"
312,4W12lEvVl5wectUtRNrvDh,White Noise Baby Sleep,31051,75,sleep
313,3mIj9lX2MWuHmhNCA7LSCW,The 1975,6833396,76,"modern alternative rock,modern rock,pop,pov: indie,rock"
319,0ghlgldX5Dd6720Q3qFyQB,TOMORROW X TOGETHER,8405772,76,"k-pop,k-pop boy group"
322,0epOFNiUfyON9EYx7Tpr6V,The Strokes,5114695,74,"alternative rock,garage rock,modern rock,permanent wave,rock"
324,1vCWHaC5f2uS3yhpwWbIA6,Avicii,23096340,79,"edm,pop,pop dance"
331,3Isy6kedDrgPYoTS1dazA9,Sean Paul,4439505,79,"dance pop,dancehall,pop,pop rap"
337,5gCRApTajqwbnHHPbr2Fpi,Juicy J,3109192,72,"crunk,memphis hip hop,pop rap,rap,southern hip hop,trap"
338,1Hsdzj7Dlq2I7tHP7501T4,Niall Horan,9709159,75,pop
340,3oDbviiivRWhXwIE8hxkVV,The Beach Boys,4214861,71,"baroque pop,classic rock,folk rock,mellow gold,psychedelic rock,rock,sunshine pop"
346,2QMsj4XJ7ne2hojxt6v5eb,Riley Green,565656,67,"contemporary country,country road,modern country rock"
350,1wZtkThiXbVNtj6hee6dz9,Wisin & Yandel,6558992,78,"electro latino,reggaeton,trap latino,urbano latino"
351,4yBK75WVCQXej1p04GWqxH,Jeezy,2374930,67,"atl hip hop,crunk,dirty south rap,gangster rap,old school atlanta hip hop,rap,southern hip hop,trap"
352,4TMHGUX5WI7OOm53PqSDAT,Grateful Dead,1711839,65,"cosmic american,jam band,psychedelic rock"
353,3koiLjNrgRTNbOwViDipeA,Marvin Gaye,5099683,72,"classic soul,motown,neo soul,northern soul,quiet storm,soul"
354,10exVja0key0uqUkk6LJRT,Vance Joy,2872739,74,"folk-pop,modern rock"
355,6FAo7ORAHEzSSf5q10LLfN,Lil Mabu,606387,69,meme
356,33NVpKoXjItPwUJTMZIOiY,David Kushner,1157534,77,"gen z singer-songwriter,singer-songwriter pop"
357,28ExwzUQsvgJooOI0X1mr3,Jay Rock,1432974,71,"conscious hip hop,hip hop,rap,southern hip hop,trap"
358,77ziqFxp5gaInVrF2lj4ht,Sech,11822272,79,"panamanian pop,reggaeton,trap latino,urbano latino"
359,1moxjboGR7GNWYIMWsRjgG,Florence + The Machine,6487336,74,"baroque pop,modern rock,uk alternative pop"
360,0eVyjRhzZKke2KFYTcDkeu,The Alchemist,498674,68,"alternative hip hop,drumless hip hop,hip hop,instrumental hip hop,west coast rap"
361,540vIaP2JwjQb9dm3aArA4,DJ Snake,8654353,76,"edm,electronic trap,pop,pop dance"
362,4nXOZlYoAD67hF9aUEncMY,Pouya,1063013,68,"aesthetic rap,cloud rap,dark trap,miami hip hop,underground hip hop"
363,0u2FHSq3ln94y5Q57xazwf,Keith Urban,5193238,68,"australian country,australian pop,contemporary country,country,country road"
364,6C1ohJrd5VydigQtaGy5Wa,Joyner Lucas,2060937,69,"boston hip hop,hip hop,pop rap,rap"
365,0YinUQ50QDB7ZxSCLyQ40k,Mustard,1084051,70,"cali rap,pop rap,rap,southern hip hop,trap"
366,7bu3H8JO7d0UbMoVzbo70s,The Cure,4683668,74,"new wave,permanent wave,rock,uk post-punk"
367,6ltzsmQQbmdoHHbLZ4ZN25,Lord Huron,1285708,71,"indie folk,modern rock,stomp and holler"
368,1YRqgFNXqRyMDRr8ClS1NL,Kaliii,179096,70,rap
369,58lV9VcRSjABbAbfWS6skp,Bon Jovi,12505742,76,"glam metal,rock"
370,6AUl0ykLLpvTktob97x9hO,Tee Grizzley,3468682,66,"detroit hip hop,detroit trap,rap,southern hip hop,trap"
371,5F1aAS1duwlzExnPs3l2Xe,Pooh Shiesty,1212362,66,"memphis hip hop,southern hip hop,tennessee hip hop,trap"
372,0sKsReKseslDlhxmbN6wLk,BabyTron,313348,65,"detroit hip hop,scam rap"
373,5q8HGNo0BjLWaTAhRtbwxa,Brantley Gilbert,2929606,66,"contemporary country,country,country road,modern country rock"
374,12zbUHbPHL5DGuJtiUfsip,Julien Baker,393268,68,"ambient folk,indie pop,indie rock"
375,3WGpXCj9YhhfX11TToZcXP,Troye Sivan,7770781,75,"australian pop,pop,viral pop"
376,4tm8CEdm4pkQsEh4jIr9Yp,Santa Fe Klan,8212887,74,mexican hip hop
377,2yLzlEFtIS0Q9UkyBZdQA7,Jessie Murph,597619,69,"alt z,singer-songwriter pop"
378,1lpOgw56wZLDa8gaP6bSIs,Fast & Furious: The Fast Saga,60174,75,soundtrack
379,1l7ZsJRRS8wlW3WfJfPfNS,Christina Aguilera,7702331,75,"dance pop,pop"
380,03r4iKL2g2442PT9n2UKsx,Beastie Boys,2582363,68,"alternative rock,east coast hip hop,golden age hip hop,hip hop,old school hip hop,rap,rap rock,rock"
